age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,capital_gain,capital_loss,hours_per_week,native_country,sex_ Male,income_ >50K,net_capital,is_married,capital_gain_log
0.3013698630136986,7,0.0443018975564037,9,0.8,4,1,1,4,0.021740217402174,0.0,0.3979591836734693,39,1,0,0.021740217402174,0,0.0215072690608233
0.452054794520548,6,0.0482375952513549,9,0.8,2,4,0,4,0.0,0.0,0.1224489795918367,39,1,0,0.0,0,0.0
0.2876712328767123,4,0.1381134458917972,11,0.5333333333333333,0,6,1,4,0.0,0.0,0.3979591836734693,39,1,0,0.0,0,0.0
0.4931506849315069,4,0.1510683093139186,1,0.4,2,6,0,2,0.0,0.0,0.3979591836734693,39,1,0,0.0,0,0.0
0.273972602739726,4,0.1849316091875959,12,0.8666666666666667,2,4,5,4,0.0,0.0,0.3979591836734693,39,0,0,0.0,0,0.0
0.4794520547945206,6,0.1340358050012904,11,0.5333333333333333,2,4,0,4,0.0,0.0,0.4489795918367346,39,1,1,0.0,0,0.0
0.3424657534246575,4,0.0999470259844338,9,0.8,2,4,0,4,0.051780517805178,0.0,0.3979591836734693,39,1,1,0.051780517805178,0,0.050484459283531
0.273972602739726,4,0.1821348528273183,15,0.6,2,4,0,2,0.0,0.0,0.8061224489795917,39,1,1,0.0,0,0.0
0.0821917808219178,4,0.0746981160266771,9,0.8,4,1,3,4,0.0,0.0,0.2959183673469387,39,0,0,0.0,0,0.0
0.2054794520547945,4,0.1308960758479238,7,0.7333333333333334,4,12,1,2,0.0,0.0,0.4999999999999999,39,1,0,0.0,0,0.0
0.1095890410958904,6,0.1117011450537211,11,0.5333333333333333,4,5,3,4,0.0,0.0,0.346938775510204,39,1,0,0.0,0,0.0
0.2054794520547945,4,0.1185388679860366,11,0.5333333333333333,4,7,4,4,0.0,0.0,0.3979591836734693,39,1,0,0.0,0,0.0
0.2876712328767123,4,0.0112753154670542,1,0.4,2,12,0,4,0.0,0.0,0.4999999999999999,39,1,0,0.0,0,0.0
0.3561643835616439,6,0.1900884258567528,12,0.8666666666666667,0,4,4,4,0.0,0.0,0.4489795918367346,39,0,1,0.0,0,0.0
0.3150684931506849,4,0.1230892000923649,10,1.0,2,10,0,4,0.0,0.0,0.6020408163265306,39,1,1,0.0,0,0.0
0.5068493150684932,4,0.1968602708466334,11,0.5333333333333333,5,8,4,2,0.0,0.0,0.1938775510204081,39,0,0,0.0,0,0.0
0.2465753424657534,1,0.0438461851917251,6,0.2666666666666666,2,5,0,2,0.0,0.0,0.3979591836734693,39,1,0,0.0,0,0.0
0.5753424657534247,4,0.0656945708425585,11,0.5333333333333333,0,13,4,4,0.0,0.0,0.3979591836734693,39,0,0,0.0,0,0.0
0.5342465753424658,2,0.1389318265168905,9,0.8,2,13,0,4,0.0,0.0,0.3979591836734693,39,1,1,0.0,0,0.0
0.0273972602739726,4,0.1059541435188329,11,0.5333333333333333,4,3,3,4,0.0,0.0,0.3979591836734693,39,1,0,0.0,0,0.0
0.3013698630136986,4,0.2410827073796879,11,0.5333333333333333,0,4,1,4,0.0,0.0,0.8061224489795917,39,1,0,0.0,0,0.0
0.4383561643835617,4,0.1229818937531411,11,0.5333333333333333,2,3,0,4,0.0,0.0,0.3979591836734693,39,1,0,0.0,0,0.0
0.0821917808219178,2,0.1211773814536613,7,0.7333333333333334,4,11,1,4,0.0,0.0,0.5204081632653061,39,1,0,0.0,0,0.0
0.0410958904109589,4,0.1723217560207006,15,0.6,4,12,3,2,0.0,0.0,0.4387755102040816,39,1,0,0.0,0,0.0
0.1780821917808219,1,0.0323725567433205,15,0.6,2,1,3,4,0.0,0.0,0.3979591836734693,39,1,0,0.0,0,0.0
0.0684931506849315,7,0.203221227638853,15,0.6,2,8,0,2,0.0,0.0,0.1428571428571428,39,1,0,0.0,0,0.0
0.4246575342465754,4,0.1562876081552818,1,0.4,4,7,4,4,0.0,0.0,0.3979591836734693,33,1,0,0.0,0,0.0
0.0547945205479452,4,0.125585770364434,15,0.6,4,7,3,4,0.0,0.0,0.3979591836734693,39,1,0,0.0,0,0.0
0.0273972602739726,4,0.3611781964385162,11,0.5333333333333333,1,1,5,4,0.0,0.0,0.2448979591836734,39,0,0,0.0,0,0.0
0.1917808219178082,4,0.0488101221118974,15,0.6,2,12,0,4,0.0,0.0,0.3775510204081632,0,1,1,0.0,0,0.0
0.4246575342465754,6,0.1719563711441029,7,0.7333333333333334,2,10,0,4,0.0,0.0,0.3979591836734693,39,1,0,0.0,0,0.0
0.1917808219178082,4,0.3365819535186971,6,0.2666666666666666,2,7,0,4,0.0,0.0,0.4285714285714285,39,1,0,0.0,0,0.0
0.4931506849315069,6,0.0517658005188736,9,0.8,2,10,0,4,0.0,0.0,0.3979591836734693,39,1,0,0.0,0,0.0
0.0958904109589041,4,0.1091414134553999,9,0.8,2,13,0,4,0.0,0.0,0.4999999999999999,39,1,0,0.0,0,0.0
0.4383561643835617,4,0.0559303731272327,11,0.5333333333333333,5,1,4,4,0.0,0.0,0.3979591836734693,39,0,0,0.0,0,0.0
0.1095890410958904,4,0.188597682726396,11,0.5333333333333333,4,6,1,4,0.0,0.0,0.346938775510204,39,1,0,0.0,0,0.0
0.5479452054794521,1,0.2211393488271009,9,0.8,2,10,0,2,0.0,0.0,0.3979591836734693,39,1,1,0.0,0,0.0
0.4931506849315069,4,0.0896999497426006,11,0.5333333333333333,2,7,0,4,0.0,0.0,0.3775510204081632,39,1,0,0.0,0,0.0
